# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 116, mean track length: 2
106 2.39038 4.56701 15.9373 102 85 69 2.65136 5 1206 10 1555
109 2.38171 4.59268 15.9307 138 123 92 2.13278 5 1243 10 389
110 2.38585 4.59373 15.9283 172 157 126 0.806664 5 1247 10 926
111 2.43163 4.60334 15.9214 108 91 75 1.50582 5 1264 10 2069
112 2.38568 4.60712 15.9277 88 73 42 0.0502888 5 1265 10 1604
113 2.43004 3.91462 15.9585 231 240 237 1.20732 5 1286 10 772
114 2.38171 4.59268 15.9307 138 123 92 2.13278 5 1327 10 399
115 2.38341 4.61751 15.9303 148 138 121 0.194361 5 1391 10 1617
116 2.05731 4.5652 16.0983 132 127 121 0.560251 5 1394 10 2418
117 2.38477 4.62164 15.9295 75 71 59 0.352523 5 1400 10 2450
118 2.13247 4.67113 16.0939 58 53 47 3.22613 5 1422 10 2392
119 2.34886 4.61919 15.938 126 121 115 0.637969 5 1472 10 2437
120 2.40341 4.62188 15.9279 137 124 115 0.411122 5 1484 10 2459
121 2.36504 4.62444 15.9311 130 126 114 1.83312 5 1496 10 1632
124 2.20118 4.75218 15.999 85 80 74 2.53486 5 1603 10 2301
125 2.40406 3.91597 15.9569 186 195 192 1.03053 5 1729 10 1409
126 2.37648 3.93265 15.9271 215 232 226 0.403458 5 1752 10 731
127 2.38576 3.93381 15.9224 235 250 245 1.18731 5 1755 10 445
128 2.44882 3.94536 15.913 203 239 227 2.38805 5 1763 10 1937
129 2.39435 3.94586 15.9079 191 213 206 0.0175359 5 1764 10 1945
130 2.4768 3.94863 15.9094 219 229 220 0.904353 5 1766 10 1424
131 2.42091 3.95099 15.8999 195 225 215 0.613528 5 1769 10 1438
132 2.44851 3.95163 15.8997 106 153 137 0.442702 5 1772 10 1943
133 2.40253 3.95953 15.8902 90 137 127 0.162663 5 1777 10 1442
137 2.45038 4.59615 15.9225 124 109 76 0.408029 5 1915 10 2345
141 2.08708 4.61474 16.1029 23 18 12 0.170681 5 2102 10 2517
146 2.44614 4.59776 15.9224 99 81 68 0.690447 5 2319 10 2267
147 2.42181 4.6028 15.924 160 144 121 1.04991 5 2335 10 1585
148 2.39123 4.60612 15.9276 112 96 73 0.298606 5 2348 10 2834
149 2.33512 4.606 15.9353 112 101 83 0.15219 5 2354 10 2456
150 2.44962 4.60964 15.9212 147 136 118 1.42058 5 2380 10 1936
