# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 93, mean track length: 0
80 0.174458 5.11522 2.60646 169 71 94 0 342196849 13186 874908085 8801
81 0.946979 0.603903 0.754347 27 17 15 0 342196849 7627 874908085 9481
82 1.62403 0.684348 0.774871 20 20 20 0 342196849 6300 874908085 9704
83 1.17022 0.984224 0.855093 72 62 60 0 342196849 13349 874908085 9932
84 1.24791 0.494042 0.702811 88 90 79 0 342196849 13515 874908085 10563
85 0.459241 1.17765 0.96061 150 95 98 0 342196849 8251 874908085 10660
86 1.08999 1.03984 0.874022 45 30 25 0 342196849 5526 874908085 10801
87 1.12942 1.03269 0.872637 60 50 48 0 342196849 6065 874908085 11100
88 -0.708659 11.3792 5.13888 168 70 93 0 342196849 11669 874908085 13012
89 1.20689 0.297039 0.650592 147 137 135 0 342196849 187 874908085 232
90 1.70147 0.691977 0.77791 133 135 122 0 342196849 242 874908085 508
91 1.25855 0.365487 0.675233 27 80 64 0 342196849 1394 874908085 1168
92 1.60442 0.693827 0.776078 70 71 65 0 342196849 1284 874908085 1287
