# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 191, mean track length: 2
85 19.9524 0.999601 46.6855 39 45 41 0.00547401 8 896 3 897
86 21.6311 0.958353 46.4626 47 36 28 0.0862686 8 897 3 1126
87 19.3538 1.4224 46.1861 10 13 6 1.02935 8 905 3 1807
88 22.9554 1.3818 46.8987 33 28 22 0.913833 8 906 3 902
89 -3.70974 1.71489 48.4438 87 82 76 0.122815 8 911 3 925
90 6.44972 7.41493 31.5359 90 66 38 0.690877 8 922 3 1136
91 23.0743 -0.0192505 47.4515 170 165 159 0.00512146 8 937 3 828
92 5.95028 7.40778 31.5214 95 80 49 0.505508 8 958 3 971
93 5.76324 7.07741 31.5317 100 67 52 0.610467 8 963 3 965
94 6.93391 6.50053 31.3958 113 91 50 0.336246 8 966 3 960
95 5.27837 6.3471 31.4047 178 164 133 2.57463 8 970 3 667
96 23.2811 -0.59018 48.1483 17 12 6 0.424115 8 973 3 1736
97 -5.7638 -12.6577 42.7825 108 89 90 0.320347 8 979 3 1461
98 5.74426 6.01805 31.0522 80 68 40 0.285855 8 986 3 1849
99 21.1889 -0.445636 48.8331 163 152 134 0.501855 8 991 3 2662
100 23.7702 -5.80052 49.205 171 158 146 0.433943 8 999 3 1237
101 23.6204 -5.67607 49.3992 57 46 34 0.287682 8 1000 3 1628
102 23.7818 -2.47685 50.9254 35 43 38 0.00266364 8 1020 3 1683
103 23.4141 -2.20238 50.0524 169 165 153 0.264943 8 1024 3 1297
104 24.7382 -2.2003 49.9795 161 150 140 0.404643 8 1025 3 1295
105 -6.03665 -1.71945 41.5009 181 208 252 0.239824 8 1032 3 1335
106 24.1457 -1.3537 49.2767 9 4 1 0.131108 8 1036 3 2615
107 22.8816 -1.31069 49.3834 15 10 4 0.00651856 8 1038 3 1949
108 22.821 0.12659 47.4241 21 16 10 0.095754 8 1058 3 1766
109 23.0917 0.702697 46.3894 96 91 85 0.295088 8 1070 3 1788
110 21.9195 1.1478 46.0488 104 99 93 0.277859 8 1076 3 898
111 21.317 1.39328 46.144 34 21 12 0.0381512 8 1080 3 1802
112 -5.9609 2.91681 40.9357 224 246 255 0.593312 8 1097 3 936
113 -6.59628 2.94492 40.9232 229 247 255 0.550017 8 1098 3 938
114 -5.92447 3.2062 40.7638 221 243 255 0.531057 8 1105 3 940
115 -6.16345 3.15318 39.7361 230 248 255 1.2659 8 1108 3 941
116 -5.44034 3.24832 40.9156 17 23 18 0.928291 8 1109 3 1837
117 -5.60076 3.37658 40.8019 97 104 130 0.426948 8 1113 3 734
118 0.770733 1.01541 12.349 47 55 58 0.0765586 8 1144 3 2641
119 7.64738 6.2501 31.9315 242 223 194 0.577156 8 1162 3 1972
120 5.65821 7.19301 31.497 206 171 147 0.213615 8 1174 3 1861
121 6.65726 7.63607 31.3191 150 126 98 0.53436 8 1182 3 621
122 6.12458 7.86043 31.5123 86 70 47 0.763008 8 1184 3 979
123 3.35884 9.27529 29.9909 130 120 95 1.91944 8 1211 3 1013
124 7.11103 10.741 32.791 176 161 130 1.11327 8 1218 3 1143
125 22.1518 -2.20688 50.2099 182 173 162 0.164912 8 1286 3 1100
126 22.8816 -1.31069 49.3834 15 10 4 0.00651856 8 1288 3 1710
127 22.821 0.12659 47.4241 21 16 10 0.095754 8 1292 3 1960
128 -5.60076 3.37658 40.8019 97 104 130 0.426948 8 1305 3 820
129 -5.15601 4.53805 40.6131 82 77 71 0.417524 8 1307 3 946
130 6.06664 -7.5569 21.4837 49 44 38 1.49022 8 1370 3 335
131 17.143 -10.5577 35.0517 52 54 53 1.53931 8 1374 3 2474
132 -6.09011 -10.6666 42.3311 58 223 247 0.0137978 8 1384 3 1208
133 6.64207 -5.89077 25.0574 184 171 162 0.0326098 8 1403 3 1476
134 7.47892 -5.49059 25.2515 201 190 172 0.0240245 8 1409 3 2489
135 24.3686 -6.17634 48.741 124 120 112 0.40693 8 1439 3 1231
136 23.5881 -5.95642 49.3693 53 48 42 0.280478 8 1442 3 1626
137 -4.70075 10.0308 28.9794 56 64 68 0.265268 8 1514 3 1912
138 6.78304 5.83989 31.3226 180 151 119 0.207337 8 1535 3 1844
139 5.43618 5.33793 31.4787 109 92 64 0.327338 8 1638 3 3097
140 5.76342 5.61068 31.3357 112 82 48 0.374479 8 1644 3 3102
141 5.72328 5.67901 31.1453 170 144 112 0.236762 8 1652 3 3109
142 6.72224 6.60057 31.2333 100 82 51 0.0478632 8 1678 3 3303
143 7.28403 6.8454 32.1725 165 141 100 0.0702634 8 1679 3 3126
144 6.93636 7.02122 31.8139 189 160 128 0.117626 8 1683 3 3136
145 6.3564 7.1471 31.6334 94 73 49 0.13822 8 1688 3 1859
146 5.97693 7.12906 31.4472 87 71 48 0.440326 8 1690 3 966
147 5.66885 7.32411 31.5271 169 146 114 0.404971 8 1694 3 3159
148 6.71949 7.31154 31.5626 110 86 58 0.796487 8 1695 3 3151
149 5.67166 7.73349 31.5505 171 151 118 1.36338 8 1707 3 3176
